,cd_indicador,nm_indicador,dc_formula_indicador,dc_conceito_indicador,dc_interpretacao_indicador,dc_nota_tecnica,in_visibilidade,cd_tipo_situacao,dt_atualizacao,cd_operador,cd_tipo_unidade_medida,cd_fonte,nm_completo_indicador,dc_periodicidade_indicador,dc_unidade_territorial,dc_serie_historica,dc_tag_indicador,dc_observacao_indicador,tx_fonte_indicador,in_consideracao_regiao
115,316.0,Proporção de estabelecimentos formais de economia criativa em gastronomia (%),"[{""caractere"":""("",""tipo"":""agregador""},{""caractere"":""V0327"",""tipo"":""variavel""},{""caractere"":""/"",""tipo"":""operador""},{""caractere"":""V0326"",""tipo"":""variavel""},{""caractere"":"")"",""tipo"":""agregador""},{""caractere"":""*"",""tipo"":""operador""},{""caractere"":""100"",""tipo"":""constante""}]","Exprime a proporção dos estabelecimentos formais em gastronomia em relação aos estabelecimentos em economia criativa do municipio. Assim, quanto mais elevado for esse indicador maior a parcela dos estabelecimentos formais desse setor em comparação ao total de estabelecimentos formais de economia criativa no municipio.",,,False,1,2019-08-05 15:30:26.289041,184147,2,,Proporção dos estabelecimentos formais em gastronomia em relação aos estabelecimentos em economia criativa do municipio.,Anual,Município; Distrito,Início: 2010 - atualmente,,"1 - Contabiliza-se apenas os estabelecimentos incluídos no CNAE 2.0 em economia criativa elaborado por DIEESE/ SMTE. 2- Considera-se como estabelecimentos em setores da economia criativa aqueles definidos por estudo DIEESE/ SMDET, com a parceria do DIEESE/ SMDET",Secretaria Municipal de Desenvolvimento Econômico e Trabalho (SMDET) - Observatório do Trabalh,True
116,402.0,Número de famílias beneficiadas com obras de urbanização de assentamentos precários em andamento ,"[{""caractere"":""V0421"",""tipo"":""variavel""}]",Famílias beneficiadas,,"A definição do número de famílias beneficiadas por Prefeitura Regional trata-se de uma estimativa podendo sofrer alterações pois uma parte desses empreendimentos está sendo objeto de análise pela Sehab/Cohab e encaminhamento para o Ministério das Cidades/ Caixa Econômica Federal, para análise de viabilidade de financmanto e retomada de obras do Programa de Aceleração do Crescimento - PAC 2, suspensas em janeiro/2-17. Depende, portanto, desta análise para posterior retomada dessas obras de infraestrutura. ",False,1,2020-06-10 10:21:15.056804,184147,1,,,Anual,Município,Inicio: 2018 - atualmente,,,Secretaria Municipal de Habitação (SEHAB),False
117,330.0,Índice de envelhecimento,"[{""caractere"":""("",""tipo"":""agregador""},{""caractere"":""V0079"",""tipo"":""variavel""},{""caractere"":""/"",""tipo"":""operador""},{""caractere"":""V0341"",""tipo"":""variavel""},{""caractere"":"")"",""tipo"":""agregador""},{""caractere"":""*"",""tipo"":""operador""},{""caractere"":""100"",""tipo"":""constante""}]","Índice de envelhecimento trata-se da relação existente entre o número de idosos e a população jovem numa certa região. É habitualmente expresso em número de residentes com 65 ou mais anos por 100 residentes com menos de 15 anos. Segundo o estatuto do idoso e site do IBGE, no Brasil é considerado idoso a pessoa com 60 anos ou mais.",,,False,1,2019-09-26 12:07:32.999752,184147,2,,,Anual,Distrito; Município,Início: 2007 - atualmente,,,"Fundação Sistema Estadual de Análise de Dados (SEADE)
",True
118,73.0,Número de matrículas em tempo integral nas escolas públicas municipais de Educação Infantil,"[{""caractere"":""V0063"",""tipo"":""variavel""}]",,,,False,1,2019-08-12 16:46:42.012555,184147,1,,Número de alunos que estudam na Educação Infantil (Creche e Pré-escola) da rede municipal de ensino matriculados em período integral,Anual,Município; Distrito,Início: 2016 - Atualmente,,PPA 2018-2021,Censo do Ministério da Educação (MEC); Secretaria Municipal da Educação (SME),True
119,312.0,Jovens inscritos em serviços públicos de intermediação de mão de obra (%),"[{""caractere"":""("",""tipo"":""agregador""},{""caractere"":""V0317"",""tipo"":""variavel""},{""caractere"":""/"",""tipo"":""operador""},{""caractere"":""V0318"",""tipo"":""variavel""},{""caractere"":"")"",""tipo"":""agregador""},{""caractere"":""*"",""tipo"":""operador""},{""caractere"":""100"",""tipo"":""constante""}]",Expressa a relação entre a quantidade de jovens  inscritos nos Centros de Apoio ao Trabalho (CATs) em busca de oportunidade de emprego e o número total de munícipes inscritos nos CATs,,,False,1,2019-08-12 15:09:07.450489,184147,2,,Quantidade de jovens em busca de oportunidade de emprego inscritos nos Centros de Apoio ao Trabalho (CATs)  na região da cidade de São Paulo,Anual,Município,Inicio: 2013 - Término: 2014,,Considera-se como jovens a população de 15 a 29 anos de idade,Secretaria Municipal de Desenvolvimento Econômico e Trabalho (SMDET),True
120,31.0,Alunos por turma do ensino fundamental da rede municipal,"[{""caractere"":""V0015"",""tipo"":""variavel""},{""caractere"":""/"",""tipo"":""operador""},{""caractere"":""V0014"",""tipo"":""variavel""}]","Verificar se a cada etapa do ensino básico está se cumprindo a quantidade de alunos por turma correspondente, nesse caso, ao ensino fundamental.",,A Portaria número 7.858 de 02/10/2017 define em todos os níveis a quantidade de educandos por turma.,False,1,2020-11-25 10:17:27.842014,184147,2,,Quantidade média de alunos por turma do Ensino Fundamental da rede municipal de ensino.,Anual,Município; Distrito; Subprefeitura,Inicio: 2006 - atualmente,,A Portaria número 7.858 de 02/10/2017 define em todos os níveis a quantidade de educandos por turma.,Secretaria Municipal da Educação (SME),False
121,263.0,Taxa de mortalidade de crianças e adolescentes por causas externas (por 100 mil na mesma faixa etária),"[{""caractere"":""("",""tipo"":""agregador""},{""caractere"":""V0247"",""tipo"":""variavel""},{""caractere"":""/"",""tipo"":""operador""},{""caractere"":""V0018"",""tipo"":""variavel""},{""caractere"":"")"",""tipo"":""agregador""},{""caractere"":""*"",""tipo"":""operador""},{""caractere"":""100000"",""tipo"":""constante""}]","Quantidade de falecimentos de crianças e adolescentes (idade entre 0 e 17 anos) em decorrência de causas externas, exceto aquelas provocadas por agressão, por 100.000 habitantes desta faixa etária. Um número elevado nesse indicador implicaria um alto número relativo de crianças e adolescentes mortos vítimas de causas externas.",,"Para o cálculo do número de vítimas de causas externas exceto aqueles vítimas de agressão, adotou-se a Classificação Estatística Internacional de Doenças e Problemas Relacionados à Saúde – Décima Revisão (CID-10). Considera-se os referidos códigos para causas externas (CID 10: V01-Y89) exceto os que denotam as vítimas de agressão(CID 10: X85-Y09).
Se existir diferenças entre o total do indicador da cidade e soma dos distritos, a disparidade é devida a endereços não identificados.",False,1,2019-08-27 15:06:17.805015,184147,2,,"Índice de óbitos de crianças e adolescentes (idade entre 0 e 17 anos) vítimas de causas externas, exceto aquelas provocadas por agressão, a cada 100.000 habitantes desta faixa etária.",Anual,Município; Distrito,Início: 2000 - atualmente,,,Fundação Sistema Estadual de Análise de Dados (SEADE); Sistema de Informação Sobre Mortalidade (SIM); Secretaria Municipal da Saúde (SMS),True
122,313.0,Jovens encaminhados por serviços públicos de intermediação de mão de obra (%),"[{""caractere"":""("",""tipo"":""agregador""},{""caractere"":""V0319"",""tipo"":""variavel""},{""caractere"":""/"",""tipo"":""operador""},{""caractere"":""V0319"",""tipo"":""variavel""},{""caractere"":"")"",""tipo"":""agregador""},{""caractere"":""*"",""tipo"":""operador""},{""caractere"":""100"",""tipo"":""constante""}]",Um percentual elevado indica maior quantidade de jovens encaminhados pelos Centros de Apoio ao Trabalho (CATs) para uma oportunidade de emprego ,,,False,1,2019-08-12 15:11:08.344955,184147,2,,Quantidade de jovens encaminhados pelos Centros de Apoio ao Trabalho (CATs)  para uma oportunidade de emprego,Anual,Município,2013 e 2014,,Considera-se como jovens a população de 15 a 29 anos de idade,Secretaria Municipal de Desenvolvimento Econômico e Trabalho (SMDET),True
123,403.0,Proporção de parto normal nas maternidades sob gestão municipal,"[{""caractere"":""("",""tipo"":""agregador""},{""caractere"":""V0423"",""tipo"":""variavel""},{""caractere"":""/"",""tipo"":""operador""},{""caractere"":""V0422"",""tipo"":""variavel""},{""caractere"":"")"",""tipo"":""agregador""},{""caractere"":""*"",""tipo"":""operador""},{""caractere"":""100"",""tipo"":""constante""}]",Manter as taxas de parto normal nas maternidades sob gestão municipal acima de 65%.,,,False,1,2020-05-15 12:34:29.117984,184147,2,,,Anual,Município,2018,,,Secretaria Municipal da Saúde (SMS),False
124,268.0,Taxa de mortalidade de crianças e adolescentes vítimas de agressão (por 100 mil na mesma faixa etária),"[{""caractere"":""("",""tipo"":""agregador""},{""caractere"":""V0248"",""tipo"":""variavel""},{""caractere"":""/"",""tipo"":""operador""},{""caractere"":""V0018"",""tipo"":""variavel""},{""caractere"":"")"",""tipo"":""agregador""},{""caractere"":""*"",""tipo"":""operador""},{""caractere"":""100000"",""tipo"":""constante""}]",Quantidade de falecimentos de crianças e adolescentes (idade entre 0 e 17 anos) em decorrência de agressão por 100.000 habitantes desta faixa etária. Um número elevado nesse indicador implicaria um alto número relativo de crianças e adolescentes mortos vítimas de agressão.,,"Para o cálculo do número de vítimas de agressão por contingente populacional, adotou-se a Classificação Estatística Internacional de Doenças e Problemas Relacionados à Saúde – Décima Revisão (CID-10). Considera-se apenas os códigos X85 a Y09.
Se existir diferenças entre o total do indicador da cidade e soma dos distritos, a disparidade é devida a endereços não identificados.",False,1,2019-08-05 15:38:33.752147,184144,2,,Índice de óbitos de crianças e adolescentes (idade entre 0 e 17 anos) vítimas de agressão a cada 100.000 habitantes desta faixa etária da cidade de São Paulo.,Anual,Município.,Início: 2000 - Atualmente,,,Sistema de Informação Sobre Mortalidade (SIM)/Ministério da Saúde (MS); Secretaria Municipal de Desenvolvimento Urbano (SMDU),True
125,190.0,Total de solicitações do serviço 156,"[{""caractere"":""V0201"",""tipo"":""variavel""}]",Apresenta o número de solicitações ao serviço 156,,,False,1,2020-05-26 10:53:02.546685,184147,1,,"Apresenta o percentual de solicitações de serviços relacionados ao tema “Acessibilidade” cadastradas pelos canais de atendimento SP156 (Central Telefônica SP156, Portal SP156, Aplicativo SP156), pelas praças de atendimento das subprefeituras e pelas unidades do Descomplica SP, com dados segregados por subprefeitura. ",Anual,Município; subprefeitura,início: 2015 - atualmente.,,,Secretaria Municipal de Inovação e Tecnologia (SMIT),False
126,42.0,Alunos por turma da pré-escola da rede pública municipal,"[{""caractere"":""V0023"",""tipo"":""variavel""},{""caractere"":""/"",""tipo"":""operador""},{""caractere"":""V0024"",""tipo"":""variavel""}]","Verificar se a cada etapa do ensino básico está se cumprindo a quantidade de alunos por turma correspondente, nesse caso, no ensino infantil - pré-escola",,,False,1,2020-11-25 10:16:42.386695,184147,2,,"Número médio de alunos por sala de aula, na pré-escola da rede municipal e conveniada municipal.",Anual,Município; Distrito; Subprefeitura,Inicio: 2006 - atualmente,,A Portaria número 7.858 de 02/10/2017 define em todos os níveis a quantidade de educandos por turma.,Secretaria Municipal da Educação (SME),False
127,77.0,Número de alunos beneficiados com a distribuição de Uniformes e Materiais Escolares no ensino fundamental da rede municipal,"[{""caractere"":""V0070"",""tipo"":""variavel""}]",,,,False,1,2019-08-08 13:59:53.234400,184147,1,,Número de alunos beneficiados com a distribuição de Uniformes e Materiais Escolares no Ensino Fundamental.,Anual,Município,Ínicio: 2016 - Atualmente,,,Secretaria Municipal da Educação (SME),True
128,270.0,Taxa de ocorrências registradas de furto e roubo de veículos (por 100 mil hab),"[{""caractere"":""("",""tipo"":""agregador""},{""caractere"":""V0235"",""tipo"":""variavel""},{""caractere"":""/"",""tipo"":""operador""},{""caractere"":""V0001"",""tipo"":""variavel""},{""caractere"":"")"",""tipo"":""agregador""},{""caractere"":""*"",""tipo"":""operador""},{""caractere"":""100000"",""tipo"":""constante""}]","Quanto menor for esta taxa, menor o registro de ocorrência de furtos e roubos de veículos em relação ao tamanho da população.",,O indicador a quantidade de ocorrências de furtos e roubos de veículos registrados junto a Secretaria de Segurança Pública do Estado de São Paulo (SSP).,False,1,2019-08-12 15:22:18.558075,184147,2,,"Expressa o total de ocorrências de furtos e roubos de veículos na cidade de São Paulo, para cada 100 mil habitantes.",Anual,Município,Início: 2000 - atualmente,,,Fundação Sistema Estadual de Análise de Dados (SEADE) Secretaria de Segurança Pública (SSP); Secretaria de Desenvolvimento Urbano (SMDU),True
129,259.0,Taxa de mortalidade de idosos por causas externas (por 100 mil na mesma faixa etária),"[{""caractere"":""("",""tipo"":""agregador""},{""caractere"":""V0245"",""tipo"":""variavel""},{""caractere"":""/"",""tipo"":""operador""},{""caractere"":""V0079"",""tipo"":""variavel""},{""caractere"":"")"",""tipo"":""agregador""},{""caractere"":""*"",""tipo"":""operador""},{""caractere"":""100000"",""tipo"":""constante""}]",,,,False,1,2019-08-27 15:06:35.758795,184147,1,,"Índice de óbitos na população paulistana com idade igual ou superior a 60 anos vítimas de causas externas, exceto aquelas provocadas por agressão, a cada 100.000 habitantes desta faixa etária.",Anual,Município; Distrito,Início: 2000 - atualmente,,"Para o cálculo do número de vítimas de causas externas exceto aqueles vítimas de agressão, adotou-se a Classificação Estatística Internacional de Doenças e Problemas Relacionados à Saúde – Décima Revisão (CID-10). Considera-se os referidos códigos para causas externas (CID 10: V01-Y89) exceto os que denotam as vítimas de agressão (CID 10: X85-Y09).

Se existir diferença entre o total do indicador da cidade e soma dos distritos, a disparidade é devida a endereços não identificados.

Indicador do Programa de Metas 2013 - 2016","Fundação Sistema Estadual de Análise de Dados (SEADE); Sistema de Informação Sobre Mortalidade (SIM); Secretaria Municipal da Saúde (SMS)
",True
130,331.0,Teste indicador (V0292/V0295),"[{""caractere"":""V0292"",""tipo"":""variavel""},{""caractere"":""/"",""tipo"":""operador""},{""caractere"":""V0295"",""tipo"":""variavel""}]",,,,False,3,2019-08-27 15:09:07.016270,184211,2,,,,,,,,,True
131,44.0,Nota do IDEB dos anos iniciais (ciclo I),"[{""caractere"":""V0027"",""tipo"":""variavel""}]","Trata-se de um Índice de Desenvolvimento da Educação Básica, criado em 2007, pelo Instituto Nacional de Estudos e Pesquisas Educacionais Anísio Teixeira (Inep), formulado para medir a qualidade do aprendizado nacional e estabelecer metas para a melhoria do ensino.",,,False,1,2019-08-07 13:38:23.647248,184147,2,,"Expressa a nota do IDEB dos anos iniciais (correspondendo ao Ciclo I: do 1º ao 5º ano do Ensino Fundamental). O IDEB é o Índice de Desenvolvimento da Educação Básica, criado pelo Instituto Nacional de Estudos e Pesquisas Educacionais Anísio Teixeira (Inep), formulado para medir a qualidade do aprendizado nacional, possibilitando o monitoramento e controle social da qualidade da Educação pela população por meio de dados concretos.",Bienal,Município,Início: 2005 - atualmente,,,Instituto Nacional de Estudos e Pesquisas Educacionais Anísio Teixeira (Inep),True
132,19.0,População total,"[{""caractere"":""V0001"",""tipo"":""variavel""}]",,,,False,1,2019-08-07 13:55:05.975819,184147,1,,"Expressa o número total de indíviduos que compõe a população paulistana, definido através de métodos de projeção populacional.",Anual,"Município, Subprefeitura, Distrito",Início: 2000 - atualmente,,"As populações aqui apresentadas resultam de projeções elaboradas pelo método dos componentes demográficos. Este método considera as tendências de fecundidade, mortalidade e migração, a partir das estatísticas vitais processadas na Fundação Seade, e a formulação de hipóteses de comportamento futuro para estes componentes. A população de base, por idade e sexo, considera os resultados correspondentes aos diversos Censos Demográficos realizados pelo IBGE. As populações projetadas referem-se a 1º de julho de cada ano.

 ",Fundação Sistema Estadual de Análise de Dados (SEADE),True
133,271.0,Taxa de ocorrências registradas de furtos (por 100 mil hab),"[{""caractere"":""("",""tipo"":""agregador""},{""caractere"":""V0234"",""tipo"":""variavel""},{""caractere"":""/"",""tipo"":""operador""},{""caractere"":""V0001"",""tipo"":""variavel""},{""caractere"":"")"",""tipo"":""agregador""},{""caractere"":""*"",""tipo"":""operador""},{""caractere"":""100000"",""tipo"":""constante""}]","Quanto menor for esta taxa, menor o registro de ocorrência de furtos em relação ao tamanho da população.",,O indicador a quantidade de ocorrências de roubos dolosos registrados junto a Secretaria de Segurança Pública do Estado de São Paulo (SSP).,False,1,2019-08-12 15:22:00.244981,184147,2,,"Expressa o total de ocorrências de furtos na cidade de São Paulo, para cada 100 mil habitantes.",Anual,Município,Início: 2000 - atualmente,,,Fundação Sistema Estadual de Análise de Dados (SEADE) Secretaria de Segurança Pública (SSP); Secretaria de Desenvolvimento Urbano (SMDU),True
134,404.0,Faixas exclusivas de ônibus implantadas (km),"[{""caractere"":""V0424"",""tipo"":""variavel""}]",As extensões indicadas representam apenas as implantações no ano de referência e não a totalidade de faixas exclusivas de ônibus existentes no município ,,,False,1,2020-05-26 13:36:17.252299,184147,2,,Quantidade de faixas exclusivas implantadas,Anual,Município,2019,,,Secretaria Municipal de Mobilidade e Transportes (SMT),False
135,146.0,Despesa realizada pela Prefeitura Municipal de São Paulo com a função orçamentária Indústria (%),"[{""caractere"":""("",""tipo"":""agregador""},{""caractere"":""V0144"",""tipo"":""variavel""},{""caractere"":""/"",""tipo"":""operador""},{""caractere"":""V0129"",""tipo"":""variavel""},{""caractere"":"")"",""tipo"":""agregador""},{""caractere"":""*"",""tipo"":""operador""},{""caractere"":""100"",""tipo"":""constante""}]","Exprime a proporção das despesas públicas municipais realizadas com função orçamentária associada a atividades de Indústria em um dado ano. Quanto maior for este indicador, mais representativo são os gastos associados a atividades de Indústria nas despesas realizadas pela Prefeitura de São Paulo no referido ano.",,"1- Este indicador não segue a mesma metodologia de demonstrativos contábeis oficiais da Prefeitura. Os percentuais constitucionais de Saúde e Educação, assim como outras vinculações orçamentárias, por exemplo, são calculadas com base na receita corrente líquida, que considera apenas os recursos arrecadados pelo próprio município. 2- Função: Representa o maior nível de agregação das diversas áreas de despesa que competem ao setor público. Exemplo: Saúde, Educação, etc. (Fonte: MPOG; Manual Técnico de Orçamento). 3- Despesa liquidada: segundo estágio da despesa orçamentária. A liquidação da despesa é, normalmente, processada pelas Unidades Executoras ao receberem o objeto do empenho (o material, serviço, bem ou obra). Conforme previsto no art. 63 da Lei nº 4.320/1964, a liquidação consiste na verificação do direito adquirido pelo credor tendo por base os títulos e documentos comprobatórios do respectivo crédito e tem como objetivos: apurar a origem e o objeto do que se deve pagar; a importância exata a pagar; e a quem se deve pagar a importância, para extinguir a obrigação. A liquidação das despesas com fornecimento ou com serviços prestados terão por base: o contrato, ajuste ou acordo respectivo; a nota de empenho; e os comprovantes da entrega de material ou da prestação efetiva do serviço. (Fonte: Controladoria-Geral da União (CGU)).",False,3,2019-08-12 17:04:10.587277,184147,2,,"Expressa a proporção das despesas realizadas pela Prefeitura de São Paulo destinado a função orçamentária Indústria (ver nota técnica), estabelecida pela Portaria nº 42, de 14 de abril de 1999 do Ministério de Orçamento e Gestão. Entende-se como despesa realizada o orçamento público liquidado (ver nota técnica). Considera-se para o cômputo deste indicador todas as fontes provedoras de recursos orçamentários.",Anual,Município,Início: 2003 – Atualmente,,Cidades Sustentáveis,Secretaria Municipal da Fazenda (SF),True
136,332.0,Teste indicador (V0292/V0295)/(V0292/V0295),"[{""caractere"":""("",""tipo"":""agregador""},{""caractere"":""V0292"",""tipo"":""variavel""},{""caractere"":""/"",""tipo"":""operador""},{""caractere"":""V0295"",""tipo"":""variavel""},{""caractere"":"")"",""tipo"":""agregador""},{""caractere"":""/"",""tipo"":""operador""},{""caractere"":""("",""tipo"":""agregador""},{""caractere"":""V0292"",""tipo"":""variavel""},{""caractere"":""/"",""tipo"":""operador""},{""caractere"":""V0295"",""tipo"":""variavel""},{""caractere"":"")"",""tipo"":""agregador""}]",,,,False,3,2019-08-27 15:28:46.521374,184211,2,,,,,,,,,True
137,273.0,Taxa de ocorrências registradas de homicídios dolosos (por 100 mil hab),"[{""caractere"":""("",""tipo"":""agregador""},{""caractere"":""V0252"",""tipo"":""variavel""},{""caractere"":""/"",""tipo"":""operador""},{""caractere"":""V0001"",""tipo"":""variavel""},{""caractere"":"")"",""tipo"":""agregador""},{""caractere"":""*"",""tipo"":""operador""},{""caractere"":""100000"",""tipo"":""constante""}]","Quanto menor for esta taxa, menor o registro de ocorrência de homicídios dolosos em relação ao tamanho da população.",,O indicador a quantidade de ocorrências de homicídos dolosos registrados junto a Secretaria de Segurança Pública do Estado de São Paulo (SSP).,False,1,2019-08-12 15:21:16.946248,184147,2,,"Expressa o total de ocorrências de homicídios dolosos na cidade de São Paulo, para cada 100 mil habitantes.",Anual,Município,Início: 2000 - Atualmente,,,Fundação Sistema Estadual de Análise de Dados (SEADE) Secretaria de Segurança Pública (SSP); Secretaria de Desenvolvimento Urbano (SMDU),True
138,272.0,Taxa de ocorrências registradas de roubos (por 100 mil hab),"[{""caractere"":""("",""tipo"":""agregador""},{""caractere"":""V0233"",""tipo"":""variavel""},{""caractere"":""/"",""tipo"":""operador""},{""caractere"":""V0001"",""tipo"":""variavel""},{""caractere"":"")"",""tipo"":""agregador""},{""caractere"":""*"",""tipo"":""operador""},{""caractere"":""100000"",""tipo"":""constante""}]","Quanto menor for esta taxa, menor o registro de ocorrência de roubos em relação ao tamanho da população.",,O indicador a quantidade de ocorrências de roubos dolosos registrados junto a Secretaria de Segurança Pública do Estado de São Paulo (SSP).,False,1,2019-08-12 15:21:50.041307,184147,2,,"Expressa o total de ocorrências de roubos na cidade de São Paulo, para cada 100 mil habitantes.",Anual,Município,Início: 2000 - atualmente,,,Fundação Sistema Estadual de Análise de Dados (SEADE) Secretaria de Segurança Pública (SSP); Secretaria de Desenvolvimento Urbano (SMDU),True
139,195.0,Número de usuários matriculados nos serviços municipais de leitura,"[{""caractere"":""V0208"",""tipo"":""variavel""}]",Quanto maior a quantidade de pessoas que realizam novas matrículas ou que renovam matrículas anteriormente realizadas nos serviços municipais de leitura maior é o número de pessoas que opodem ser beneficiadas pelo empréstimo de livros e demais itens que compõem os acervos circulantes dos mesmos serviços.,,"Para a composição do indicador os dados são obtidos nas seguintes fontes primárias: a) para as bibliotecas - Catálogo on-line do Sistema Municipal de Bibliotecas, por meio de relatório que quantifica os exemplares de livros “sem data de baixa”; b) para os Pontos de Leitura que ainda não contam com processo de matrícula plenamente informatizado - Relatório de Monitoramento das Ações – REMA, elaborado pela Secretaria Municipal de Cultura / Coordenação do Sistema Municipal de Bibliotecas / Supervisão de Planejamento. 
A matrícula é o procedimento para inscrição individual no Sistema Municipal de Bibliotecas, sendo necessário para que o usuário possa realizar empréstimos de livros e demais itens dos acervos circulantes de quaisquer bibliotecas municipais e Pontos de Leitura, possuindo validade de um ano, sendo permitidas contínuas renovações por iguais períodos. 
O período de referência adotado é entre 1º de janeiro e 31 de dezembro de cada ano.  
Os Bosques Municipais de Leitura não possuem acervos circulantes e, portanto, não realizam matrículas.  
No caso da Biblioteca Pedagógica Professora Alaíde Bueno Rodrigues, que não atende ao público em geral, os números são considerados somente para o conjunto do município, não sendo disponibilizados por Subprefeituras.",False,1,2019-08-12 16:33:41.697350,184147,1,,Quantifica o número de pessoas que realizaram matrículas e renovações de matrículas realizadas nos serviços municipais de leitura localizados na unidade territorial entre 1º de janeiro e 31 de dezembro do ano de referência.,anual,"subprefeitura, município",Início: 2016 - atualmente,,,Secretaria Municipal de Cultura (SMC) - Coordenação do Sistema Municipal de Bibliotecas (CSMB) - Supervisão de Planejamento. ,True
140,310.0,Taxa de participação do Município de São Paulo na formalização do Microempreendedor Individual (%),"[{""caractere"":""("",""tipo"":""agregador""},{""caractere"":""V0322"",""tipo"":""variavel""},{""caractere"":""/"",""tipo"":""operador""},{""caractere"":""V0323"",""tipo"":""variavel""},{""caractere"":"")"",""tipo"":""agregador""},{""caractere"":""*"",""tipo"":""operador""},{""caractere"":""100"",""tipo"":""constante""}]",Proporção de formalização de MEIs no município de São Paulo em relação ao Estado de SP,,,False,1,2019-08-06 10:35:14.054274,184147,2,,Exprime a participação das MEIs formalizadas no município de São Paulo em relação ao total de MEIs formalizadas no Estado de São Paulo.,Anual,Município,Início: 2009 - atualmente,,MEI - Microempreendedor Individual: é a pessoa que trabalha por conta própria e que se regulariza como pequeno empresário. É necessário faturar no máximo até R$60 mil por ano e não ter participação em outra empresa como sócio ou titular. O MEI também pode ter um empregado contratado que receba o salário mínimo ou o piso da categoria.,Secretaria Municipal do Desenvolvimento Econômico e Trabalho (SMDET),True
141,243.0,Resíduos depositados em aterros sanitários (%),"[{""caractere"":""("",""tipo"":""agregador""},{""caractere"":""V0259"",""tipo"":""variavel""},{""caractere"":""/"",""tipo"":""operador""},{""caractere"":""V0258"",""tipo"":""variavel""},{""caractere"":"")"",""tipo"":""agregador""},{""caractere"":""*"",""tipo"":""operador""},{""caractere"":""100"",""tipo"":""constante""}]","Quanto menor este número, menor a proporção de lixo depositado em aterros sanitários",,,False,1,2019-08-12 15:55:41.360114,184147,2,,Proporção de resíduo urbano coletado que é depositado em aterros sanitários,anual,Município,Início: 2012 - Atualmente,,"Um aterro sanitário é um local onde resíduos são depositados e enterrados. A implementação desse sistema objetiva diminuir o impacto do lixo, sobretudo da contaminação do solo, água e ar.
",Sistema de Controle dos Resíduos Sólidos Urbanos (SISCOR); Amlurb; Secretaria Municipal de Subprefeituras (SMSB),True
142,305.0,Responsáveis por domicílios com rendimento de mais de 1 até 2 Salários Mínimos (%),"[{""caractere"":""V0311"",""tipo"":""variavel""}]",Percentual de pessoas que são responsáveis por domicílios particulares permanentes e que tinham rendimento de mais de 2 a 3 salários mínimos de acordo com o Censo Demográfico IBGE.,,,False,1,2019-08-06 11:10:33.572674,184147,2,,Representa a porcentagem de pessoas que são responsáveis por domicílios particulares permanentes e que tinham rendimento de mais de 2 a 3 salários mínimos. Quanto maior for este indicador mais pessoas responsáveis por domicílios recebiam entre 2 e 3 salários mínimos de acordo com o Censo Demográfico IBGE.,Decenal,Município; Distrito,2000 e 2010,,,Instituto Brasileiro de Geografia e Estatística (IBGE),True
143,309.0,Responsáveis por domicílios com rendimento maior que 10 Salários Mínimos (%),"[{""caractere"":""V0315"",""tipo"":""variavel""}]",Percentual de pessoas que são responsáveis por domicílios particulares permanentes e que tinham rendimento de mais de 10 salários mínimos de acordo com o Censo Demográfico IBGE.,,,False,1,2019-08-06 11:10:56.043973,184147,2,,Representa a porcentagem de pessoas que são responsáveis por domicílios particulares permanentes e que tinham rendimento de mais de 10 salários mínimos. Quanto maior for este indicador mais pessoas responsáveis por domicílios recebiam mais de 10 salários mínimos de acordo com o Censo Demográfico IBGE.,Decenal,Município; Distrito,2000 e 2010,,,Instituto Brasileiro de Geografia e Estatística (IBGE),True
144,113.0,Tempo médio de atendimento para consultas (adulto e infantil) - Programa de Saúde da Família,"[{""caractere"":""V0115"",""tipo"":""variavel""}]",,,,False,1,2019-08-12 11:58:42.841009,184147,1,,Expressa os dias de intervalo entre data do agendamento e data da vaga para consultas de primeira vez com o Médico do Programa Saúde da Família,Anual,Subprefeitura; Município,Início: 2009 - Atualmente,,Lei nº 14.173/06,"Secretaria Municipal da Saúde (SMS), Sistema Integrado de Gestão da Assistência à Saúde/SIGA-Saúde SP",True
145,307.0,Responsáveis por domicílios com rendimento de mais de 3 até 5 Salários Mínimos (%),"[{""caractere"":""V0313"",""tipo"":""variavel""}]",Representa a porcentagem de pessoas que são responsáveis por domicílios particulares permanentes e que tinham rendimento de mais de 3 a 5 salários mínimos. Quanto maior for este indicador mais pessoas responsáveis por domicílios recebiam entre 5 e 10 salários de acordo com o Censo Demográfico IBGE.,,,False,1,2019-08-06 11:12:11.004700,184147,2,,Percentual de pessoas que são responsáveis por domicílios particulares permanentes e que tinham rendimento de mais de 3 a 5 salários mínimos de acordo com o Censo Demográfico IBGE.,Decenal,Município; Distrito,2000 e 2010,,,Instituto Brasileiro de Geografia e Estatística (IBGE),True
